label,score,id_a,id_b,name_a,name_b,artist_a,artist_b,release-date_a,release-date_b,release-country_a,release-country_b
0,0.957,discogs_57010,mbrainz_11002,Emotional Colors Remixes,Emotional Colors,Swede:art,Swede:art,2010-10-21,2010-06-23,Germany,Germany
0,0.801,discogs_6333,mbrainz_7168,The Future,The Future Symphony,Marc Johnson & DMF,Loss of a Child,2004-04-01,2003-04-04,UK,
0,0.78,discogs_45839,mbrainz_12753,Classics,Classics 1994-1999,Sarah Brightman,Saikeautsu G,2001-11-28,2002-01-01,Japan,Japan
0,0.768,discogs_167510,mbrainz_6246,Beyond The Frame,Beyond the Valley,Keith Canvas,"Schneider, Anja",,2008-05-11,,Germany
0,0.929,discogs_9570,mbrainz_180,Ya Mama / Song For Shelter,Ya Mama / Song for Shelter,Fatboy Slim,Fatboy Slim,2001,2001-09-03,Germany,United Kingdom of Great Britain and Northern Ireland
0,0.821,discogs_40863,mbrainz_22231,The Deep Purple Singles A's & B's,Purple Passages,Deep Purple,Deep Purple,1978-10-01,1972-01-01,UK,
0,0.793,discogs_81760,mbrainz_5250,Surrender,Surrender,A. Paul,Suicide,2012-05-01,1988-01-01,Portugal,France
0,0.909,discogs_179974,mbrainz_19993,Tempest,Tempest,Bob Dylan,Lycus,2013,2013-07-09,Russia,United States of America
0,0.808,discogs_181152,mbrainz_1233,Get Ready,Get Ready For Elvis,New Order,CBF,,1991-01-01,Yugoslavia,Netherlands
0,0.771,discogs_165185,mbrainz_15514,The Blues Brothers Complete,The Definitive Blues Brothers Collection,The Blues Brothers,Blues Brothers,1998,2000-01-01,Australia,Germany
0,0.785,discogs_165985,mbrainz_6678,Shelter,Shelter,Spectrasoul,Rasa,2015-05-17,2003-01-01,,United States of America
0,0.926,discogs_174884,mbrainz_30023,House Of Nightmares,House of Nightmares,Buzz-Works|Nox Arcana,Buzz-Works,2010-10-01,2010-10-01,USA & Canada,United States of America
0,0.781,discogs_161731,mbrainz_6045,Beyond The Mind's Eye,Beyond the Pale,Jan Hammer,X-Fusion,1993,2007-04-23,United States of America,Germany
0,0.813,discogs_37592,mbrainz_4063,We Belong,We Belong to the Sea,Ferry Corsten,Aqua,2009-05-25,2000-11-13,Netherlands,
0,0.861,discogs_20479,mbrainz_6188,New Riders Of The Purple Sage,The Best of New Riders of the Purple Sage,New Riders Of The Purple Sage,New Riders of the Purple Sage,1971-08-01,1987-04-07,United States of America,United States of America
0,0.978,discogs_10128,mbrainz_1873,Just Let Go (The Remixes),Just Let Go (The Remixes),Fischerspooner,Fischerspooner,2005-06-27,2005-07-05,Germany,Germany
0,0.892,discogs_42230,mbrainz_14427,Into The Future,It's Only the Future,Satan,"Repp, Corrina",1987,2004-01-01,United States of America,United States of America
0,0.766,discogs_68661,mbrainz_17926,Into The Wild,Into the Woods,Uriah Heep,Ethernet,2011,2012-10-10,Russia,
0,0.811,discogs_106017,mbrainz_9144,Trouble,Trouble,Kreisky,Unwoman,2011-04-29,2008-10-03,Germany,United States of America
0,0.768,discogs_176018,mbrainz_30429,"The Complete Dinah Washington On Mercury, Vol.1 (1946-1949)","The Complete Dinah Washington on Mercury, Volume 7 (1961)",Dinah Washington,"Washington, Dinah",1987,1991-07-01,Japan,United States of America
0,0.767,discogs_79018,mbrainz_32791,The MGM Singles,The Classic Singles,Sam The Sham & The Pharaohs,"Cole, Nat King (and others)",2011-03-01,2003-11-04,United States of America,United States of America
0,0.781,discogs_56827,mbrainz_2433,Voodoo Chic,Voodoo Chic,The Adopted,Helicopter Girl,1998,2005-07-26,Canada,United States of America
0,0.779,discogs_79956,mbrainz_153,Butterfly Blues,Butterfly,Blueville,Mondo Grosso,2011,2000-01-01,Italy,France
0,0.893,discogs_20115,mbrainz_10999,Blackout,Blackout,Solano,2562,2007-06-01,2010-05-10,Germany,United Kingdom of Great Britain and Northern Ireland
0,0.797,discogs_189,mbrainz_27090,Classics 2,Classics,Ten City,"Werner, Susan",2001-01-01,2009-01-01,United States of America,United States of America
0,0.818,discogs_26343,mbrainz_25400,The Singles,The Singles â€™67-â€™78,Chaos UK,Mud,1996,1997-11-24,UK,
0,0.832,discogs_193367,mbrainz_835,Electronic Music,Electronic Music From the Swedish Leftcoast,Various,Plej,1977,2005-01-01,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.893,discogs_102146,mbrainz_26807,The Singles Collection,The Singles,Four Tops,DÅ¼em,1992,1992-01-01,UK,Poland
0,0.846,discogs_12248,mbrainz_233,The Music Band,The Music in My Mind,War,"Monolith, The",1979,2002-02-11,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.771,discogs_14923,mbrainz_28953,The Warning (Album Sampler),The Warning,Hot Chip,Daysend,2006,2007-05-28,UK,Australia
0,0.813,discogs_8483,mbrainz_14267,Replicant,Replicant,Wired Brain,Scribe Machine,2002,2002-01-01,France,United States of America
0,0.975,discogs_9243,mbrainz_2052,Singles 1-12,Singles 1-12,Melvins,Melvins,1997,1997-08-26,United States of America,United States of America
0,0.797,discogs_102006,mbrainz_3095,Deep In The Woods,Dead in the Woods,Atheus,"Grey Daturas, The",2013-03-03,,Canada,
0,0.828,discogs_16199,mbrainz_23606,Monster EP Volume One,Monster Zoku Onsomb!,Monster (4),Monster Zoku Onsomb!,1997,,United States of America,
0,0.763,discogs_41061,mbrainz_1680,Madvillainy 2: The Madlib Remix,Falling / Out of Time (Calyx remix),Madvillain,Echo,2008-09-01,2005-03-07,United States of America,United States of America
0,0.766,discogs_177082,mbrainz_1493,The Singles,The Singles Album,Monkey Sons,UB40,2015-07-24,1980-01-01,UK & Europe,United Kingdom of Great Britain and Northern Ireland
0,0.775,discogs_84254,mbrainz_9051,Whirlpool,Whirlpool,Meat Puppets,Some Velvet Sidewalk,1991,1994-05-10,United States of America,United States of America
0,0.852,discogs_16461,mbrainz_122,Primitive Cypher,Primitive,X2|Saturn V,Rubec,2006-09-01,2001-10-22,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.771,discogs_192091,mbrainz_2398,Get Ready,Get Ready,Virtue (9),Rare Earth,1999,1969-01-01,United States of America,United States of America
0,0.784,discogs_190645,mbrainz_742,Reverence,Reverence,Faithless,Faithless,2001,1997-04-14,Russia,United Kingdom of Great Britain and Northern Ireland
0,0.785,discogs_128589,mbrainz_26807,Wink Hot Singles,The Singles,Wink (4),DÅ¼em,1990-11-01,1992-01-01,Japan,Poland
0,0.946,discogs_158438,mbrainz_18544,The Black Parade,The Black Parade Is Dead!,My Chemical Romance,My Chemical Romance,2007-10-12,2008-01-01,United States of America,United States of America
0,0.772,discogs_151078,mbrainz_3517,Face The Music,Face The Music,Sinne Eeg,Isosceles,2014-05-06,,Europe,
0,0.8,discogs_58461,mbrainz_28566,Spirit Stories,Sinister Spirit of War,Joolz,1389 (and others),2008,2008-04-18,UK,Bosnia and Herzegovina
0,0.938,discogs_275,mbrainz_31847,Fallen,Fallen,One Dove,Burzum,1991-10-01,2011-01-01,UK,
0,0.78,discogs_115569,mbrainz_26097,The Best Of The Mills Brothers,The Very Best of THE KING BROTHERS,The Mills Brothers,"King Brothers, The",1999,2003-01-01,UK,United Kingdom of Great Britain and Northern Ireland
0,0.785,discogs_51215,mbrainz_5415,Beyond The North Winds,Beyond the Apocalypse,SIG:AR:TYR,1349,2008-07-20,2004-04-19,Canada,United Kingdom of Great Britain and Northern Ireland
0,0.825,discogs_95673,mbrainz_7472,Beyond Our Reach,Beyond Reach,Mr.Cid,Anakoluth,2012-12-17,2009-01-14,Greece,
0,0.986,discogs_23371,mbrainz_22231,Purple Passages,Purple Passages,Deep Purple,Deep Purple,1972-11-01,1972-01-01,United States of America,
0,0.997,discogs_118392,mbrainz_21876,The Marshall Mathers LP2,The Marshall Mathers LP 2,Eminem,Eminem,2013-11-05,2013-11-05,United States of America,United States of America
0,0.923,discogs_10378,mbrainz_1689,Moment Of Truth,Moment of Truth,Man With No Name,Man With No Name,1996,1996-01-01,Netherlands,France
0,0.771,discogs_63042,mbrainz_539,Daydream Believer,Daydream in Blue (release),The Monkees,I Monster,,2001-01-01,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.817,discogs_121709,mbrainz_13138,Collapse Through Nowhere,Collapse Into Now,Cold Sharp Knives,R.E.M.,2013,2011-03-07,Canada,United Kingdom of Great Britain and Northern Ireland
0,0.797,discogs_34004,mbrainz_25400,The Singles 1969-1973,The Singles â€™67-â€™78,Carpenters,Mud,1973,1997-11-24,Netherlands,
0,0.785,discogs_33946,mbrainz_8657,The Best Of The Delmore Brothers,The World of The Statler Brothers,The Delmore Brothers,"Statler Brothers, The",1975,1972-01-01,United States of America,United States of America
0,0.787,discogs_11480,mbrainz_2536,Spiritual Man,Spiritual Cannibal,M (2),Apocrypho,1995,1999-01-01,UK,United States of America
0,0.867,discogs_111862,mbrainz_4204,Spirit,Spirit of the New Land,Jewel,"Carn, Doug",1998-11-17,1999-01-01,United States of America,United States of America
0,0.975,discogs_57160,mbrainz_7490,Liberation: The Island Anthology,Liberation: The Island Anthology,Black Uhuru,Black Uhuru,1993,1993-09-21,United States of America,United States of America
0,0.975,discogs_37199,mbrainz_8270,Crack The Skye,Crack the Skye,Mastodon,Mastodon,2009,2009-01-01,United States of America,United States of America
0,0.818,discogs_138406,mbrainz_7812,Trouble,Trouble,The Agents (3),999,1979,1980-01,UK,United Kingdom of Great Britain and Northern Ireland
0,0.945,discogs_38430,mbrainz_8555,Remedy,Remedy,Little Boots,Little Boots,2009-06-22,2009-08,UK,United Kingdom of Great Britain and Northern Ireland
0,0.77,discogs_112711,mbrainz_9990,Beyond The Fairytale,Beyond the Sunset: The Romantic Collection,The Carpet Knights (2),Blackmore's Night,2004,2004-01-01,Sweden,
0,0.8,discogs_55486,mbrainz_1186,Spirits Of Buddha,Spirits From the Inside,Various,Sleepwalk,2007,2000-11,Netherlands,Germany
0,0.784,discogs_165072,mbrainz_10115,Negro Spirituals,Negro Spirituals,The American Protestant Church Choir Of The Hague|Henry Blackmon,"Golden Gate Quartet, The",,,,
0,0.813,discogs_56056,mbrainz_2997,The Future Is Now,The Future,Eclier,"Thomas, Tony",2010-11-01,2005-12-17,France,United Kingdom of Great Britain and Northern Ireland
0,0.778,discogs_92502,mbrainz_295,Outside In,Outside,Luke White,Omar,2012-07-09,1994-01-01,UK,Germany
0,0.83,discogs_11085,mbrainz_6026,California Love EP,California Clam Chowder,2Pac,Thelonious Monster,2004-09-27,2004-01-01,UK,United States of America
0,0.981,discogs_54789,mbrainz_11961,Postcards From A Young Man,Postcards From a Young Man (album),Manic Street Preachers,Manic Street Preachers,2010-09-22,2010-09-22,Japan,Japan
0,0.797,discogs_138223,mbrainz_19832,Echoes Of Dreams,Echoes,Malia,"Jones, Rena",2004-08-01,2013-04-01,France,United States of America
0,0.77,discogs_7448,mbrainz_5479,Broken Spindles,Broken Sun EP,Broken Spindles,Frequent C,2002-09-01,2007-12-12,United States of America,United States of America
0,0.822,discogs_18909,mbrainz_2398,Get Ready For Elvis,Get Ready,CBF,Rare Earth,1991,1969-01-01,Netherlands,United States of America
0,0.767,discogs_6112,mbrainz_2581,Beyond Seven,Beyond Silence,Mateo Murphy,Alpha Wave Movement (and others),2004-04-01,2005-10-11,Canada,Canada
0,0.901,discogs_41199,mbrainz_2549,Unplugged,MTV Unplugged,"10,000 Maniacs",KISS,1993,1996-03-12,United States of America,United States of America
0,0.772,discogs_20487,mbrainz_9159,Monster Mash,Monster Men,Bobby Pickett,"Pop, Iggy feat.",1991,1997-01-01,United States of America,
0,0.799,discogs_104801,mbrainz_8699,The Very Best Of The Everly Brothers,The Best of The Statler Bros.,Everly Brothers,"Statler Brothers, The",,1975-01-01,United States of America,United States of America
0,0.789,discogs_105809,mbrainz_18984,In Direzione Ostinata E Contraria,In direzione ostinata e contraria 2,Fabrizio De André,"De AndrÃ©, Fabrizio",2005-11-07,2006-11,Italy,Italy
0,0.779,discogs_158403,mbrainz_23213,I Surrender,I Surrender,Edit Revenge|Roland Clark,"Day, Arlan",2014-09-01,,Denmark,
0,0.779,discogs_114765,mbrainz_11606,Hidden Hits Of The Official Reaper Vol. 1,Hidden Temple,Furze,Rajna,2013-06-18,2004-01-01,Norway,France
0,0.818,discogs_95636,mbrainz_31744,Empire … The Violence,Empire of the Black Sun,Zamak,Ignis Inferni,2004,2014-01-22,Mexico,
0,0.801,discogs_61851,mbrainz_4877,Butterfly,Butterfly,Osunlade,S3RL,2010-12-06,2007-01-01,,
0,0.875,discogs_2609,mbrainz_595,Day For Night,Day for Night,Moloko,Moloko (and others),1997,1996-01-01,United States of America,
0,0.943,discogs_56198,mbrainz_4392,Obsidian Soul (Remixes),Obsidian Soul,Rufuss,Rufuss,2007-10-01,2007-02-14,France,France
0,0.777,discogs_196698,mbrainz_13911,Worlds Apart,Worlds Apart,Roger Christian (2),Silent Force,1989,2004-10-05,UK,Japan
0,0.903,discogs_34546,mbrainz_5751,Love & Devotion,Love and Devotion,Real McCoy,Real McCoy,1995,1998-01-01,Germany,Germany
0,0.811,discogs_9665,mbrainz_835,Electronic Dancefloor Classics 1,Electronic Music From the Swedish Leftcoast,Giorgio Moroder,Plej,2005,2005-01-01,Germany,United Kingdom of Great Britain and Northern Ireland
0,0.778,discogs_185882,mbrainz_13594,Echoes,Echoes in My Mind,Abyss X,Wilted,2015-10-06,2011-04-27,Mexico,Russian Federation
0,1.0,discogs_23227,mbrainz_5364,Vision Creation Newsun,Vision Creation Newsun,Boredoms,Boredoms,2000,1999-12-10,Japan,Japan
0,0.877,discogs_112022,mbrainz_42,Surrender,Surrender,Laura Pausini,Seek,2002,2000-12-05,Canada,United States of America
0,0.829,discogs_191251,mbrainz_2674,Broken Arrow,Broken Peace,Chuck Berry,Prong,1959,1994-01-01,United States of America,United States of America
0,0.777,discogs_21257,mbrainz_11847,Broken Land,Broken,Raffa,Hessien,1997-02-10,2010-10-14,Italy,
0,0.817,discogs_84520,mbrainz_8866,Spirit,Spirit of Africa,Би-2,"Kenyan Boys Choir, The",2012-05-01,2009-01-01,Russia,United Kingdom of Great Britain and Northern Ireland
0,0.773,discogs_70930,mbrainz_302,Keeper Of The Spirit,Feel the Spirit,Charles Fambrough,Harlem Sunshine,1995,2002-01-01,United States of America,United States of America
0,0.836,discogs_76909,mbrainz_32,Up All Night (Remix),Up All Night / Take Control,John B,John B,2002,2001-06-25,UK,United Kingdom of Great Britain and Northern Ireland
0,0.772,discogs_152772,mbrainz_15891,Surrender,Surrender,Tomoyasu Hotei,"Taylor, Roger",1994-03-30,1999-03-29,Japan,United Kingdom of Great Britain and Northern Ireland
0,0.918,discogs_191675,mbrainz_429,Erotica,Erotica,Madonna,Madonna,1992,1992-10-20,Canada,United States of America
0,0.881,discogs_114622,mbrainz_31847,Fallen,Fallen,Evanescence,Burzum,2013,2011-01-01,Europe,
0,0.899,discogs_117290,mbrainz_28340,Happiness,Happiness,Kid606,"Ryan, Matthew",2013-10-01,2003-10-06,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.948,discogs_3685,mbrainz_10450,The Singles 8698,The Singles Tour 86-98,Depeche Mode,Depeche Mode,1998-09-28,1998-01-01,UK,Germany
0,0.773,discogs_34731,mbrainz_1062,Dreamland,Dreamland,Report Suspicious Activity,"Nine, The",2006-11-07,2001-06,United States of America,United States of America
0,0.799,discogs_9570,mbrainz_179,Ya Mama / Song For Shelter,Song for Shelter / Ya Mama,Fatboy Slim,Fatboy Slim,2001,2001-01-01,Germany,United Kingdom of Great Britain and Northern Ireland
0,0.764,discogs_3007,mbrainz_2675,Head Music,Feel the Music,The Daou,Guru,1992-05-12,1995-01-01,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.85,discogs_58927,mbrainz_1912,The Concretes,The Concretes,The Concretes,"Concretes, The",2003-05-31,2004-06-21,UK,United Kingdom of Great Britain and Northern Ireland
0,0.82,discogs_11480,mbrainz_3762,Spiritual Man,Spiritual Gas Station,M (2),"Kilgour, David",1995,1994-01-01,UK,New Zealand
0,0.769,discogs_2644,mbrainz_6068,Devotion,Devotion,Mario Più,Gnaw Their Tongues,2003-01-27,2008-03-21,Italy,United Kingdom of Great Britain and Northern Ireland
0,0.975,discogs_13655,mbrainz_3145,Nightmare!!,Nightmare!!,Brainbug,Brainbug,1997,1997-01-01,France,France
0,0.978,discogs_1634,mbrainz_429,Erotica,Erotica,Madonna,Madonna,1992-11-06,1992-10-20,United States of America,United States of America
0,0.975,discogs_32721,mbrainz_7298,The Lemonade Ocean,The Lemonade Ocean,I Was A Teenage Satan Worshipper,I Was a Teenage Satan Worshipper,2008,2008-02-27,Finland,Finland
0,0.857,discogs_148224,mbrainz_24470,The Lost Tapes E.P.,The Lost Tapes,Ark,"Legion, The",2014-11-01,2014-05-20,UK,United States of America
0,0.772,discogs_29045,mbrainz_14852,Spirit In The Sky,Spirit in the Sky: The Best of Norman Greenbaum,Norman Greenbaum,"Greenbaum, Norman",1969,1995-01-01,Norway,United States of America
0,0.821,discogs_43363,mbrainz_6065,Broken Harp,Broken Grid,Shortstuff|Brackles,Solar Fake,2009-05-01,2008-02-01,UK,Germany
0,0.767,discogs_46836,mbrainz_1164,Beyond The Wasteland,Beyond,Brain Police (2),Arbre Noir,2008,2000-01-01,Germany,Germany
0,0.82,discogs_179660,mbrainz_13594,Echoes In Rain,Echoes in My Mind,Enya,Wilted,2015-10-09,2011-04-27,Europe,Russian Federation
0,0.776,discogs_8974,mbrainz_13760,Girlfriend EP,Girlfriend Island,TTC,"Rose, Frankie and the Outs",2005,2010-01-01,France,United Kingdom of Great Britain and Northern Ireland
0,0.77,discogs_18909,mbrainz_1718,Get Ready For Elvis,Get Ready,CBF,Traks,1991,1983-01-01,Netherlands,France
0,0.823,discogs_41648,mbrainz_1766,I Surrender,Surrender,Robey,Kut Klose,1986,1995-03-14,United States of America,United States of America
0,0.774,discogs_46329,mbrainz_19268,Beyond The Dune Sea,"Beyond Virtue, Beyond Vice",Beyond The Dune Sea,Vaux,2010-03-09,2005-11-08,Canada,United States of America
0,0.853,discogs_178587,mbrainz_14150,Beyond The Lights,Beyond the Fields,Oxi (3),Abakus,2015-10-19,2011-07-04,United States of America,United Kingdom of Great Britain and Northern Ireland
0,0.801,discogs_18738,mbrainz_29816,Visions,Visions of the Seeker,Firefly (5),Angband,2006,2010-10-29,UK,Germany
0,0.788,discogs_33437,mbrainz_2808,The Music People,The Music Band (orig.),Various,War,1972-02-28,1979-01-01,United States of America,United States of America
0,0.801,discogs_129285,mbrainz_65,Electronic Garden,Electronic Fragments EP,Scanner,Skanfrom,2014-03-24,2000-01-01,Germany,Germany
0,0.87,discogs_49812,mbrainz_9620,Fallen Angel,Fallen Angel,Frankie Valli,Ð›Ð¸ÐºÐ°,1976-04-01,1994-01-01,Netherlands,Russian Federation
0,0.772,discogs_87120,mbrainz_2200,Echoes From The Past,Echoes of the West,Deckard (2),Echo West,2012-09-08,2005-01-01,Germany,Germany
0,0.772,discogs_56792,mbrainz_1834,Beyond Forever,Beyond the Gates,Erik Ekholm,Cans,2010-12-14,2004-04-26,Sweden,Finland
0,0.802,discogs_116024,mbrainz_4877,Broken Butterfly,Butterfly,Namatjira,S3RL,2013-08-14,2007-01-01,United States of America,
0,0.767,discogs_45554,mbrainz_5050,The Discovery Of A World Inside The Moone,The Psychedelic World of the 13th Floor Elevators,The Apples In Stereo,13th Floor Elevators,2000,2002-01-01,United States of America,United States of America
0,0.991,discogs_106826,mbrainz_19406,Random Access Memories,Random Access Memories,Daft Punk,Daft Punk,2013-05-21,2013-05-17,,
0,0.975,discogs_26684,mbrainz_6122,Symbiotic Spaces,Symbiotic Spaces,Numina,Numina,2007,2007-01-01,United States of America,United States of America
0,0.978,discogs_30755,mbrainz_6942,Devils In My Details,Devils in My Details,ohGr,ohGr,2008-10-28,2008-11-05,United States of America,United States of America
